author,comment,likes,published_at
@BapakPoniman-pq8nl,Pemerimtahan prabowo..banyak gaguan..mungkin.prabowo.tdk.tegas..mungkin pe garuh.dg.jokowi..dipemerintah.prabowo.blm ada yg menojol.pidato prabowo.ber..apii²tpi prateknya..abu.²,0,2026-04-25T22:17:24Z
@sartonohermawan3105,tolong di dukung prampasan aset yu pasti bisa,0,2026-04-25T20:37:09Z
@sartonohermawan3105,mangkanya maap pak presiden ciptakan BBM murah beras murah dan gas turunkan biar orang yang nyinyir itu kelojotan  atau malu yang bahasanya harus mundur,0,2026-04-25T20:34:19Z
@AhmadHamzah-c2h,Harus segera bentuk kabinet perang,0,2026-04-25T19:34:46Z
@putraaner5336,Sejak PRABOWO menerajui kerajaan INDONESIA..semakin jelas kehancuran indonesia terus berlaku ..semakin lama PRABOWO memimpin indonesia semakin miskin dn sensara seluruh rakyat indonesia..semakin jelas kehancuran indonesia berlaku..lihat saja apa yang berlaku sekarang ini ...EKONOMI indonesia semakin hancur .semua investor lari keluar dari indonesia dn hutang luar negara INDONESIA tidak mampu di bayar ..paling jelas jatuh nya nilai RP di banding DOLLAR AS ...klu PRABOWO tidak di turun kn dari presiden indonesia pasti indonesia bangkrut lebih awal berlaku dari 2030 ..lihat saja nti apa yg berlaku sebelum 2030,0,2026-04-25T17:58:55Z
@tb.adeasnawi9548,Saya  setuju dengan apa yang dikatakan prof mahfud. Dan saya berharap teruskan bahkan lebih keras lgi agar pra bowo dengar.,0,2026-04-25T16:24:42Z
@abisAlsyaf,"Dan masalah koprasi merah putih byk rakyat yg tdk setuju, Krn, yg jualan runcit bakalan gk laku, jika di teruskan koprasi merah putih, bakalan di Indonesian akan byk yg jadi maling, Krn mata pencaharian Meraka sudah di saing oleh koprasi merah putih, Kepada BPK MD Mahfud,coba tolong di usulkan, trimakasih",0,2026-04-25T16:04:06Z
@abisAlsyaf,"Bagus pak MD Mahfud, salut maju trus pak",0,2026-04-25T15:59:10Z
@User-k5u8y,Bejat di tangn prabowo mendingn prabowo tidur biar gk nambah parah,0,2026-04-25T15:54:34Z
@suwantowanto9478,Penjelsann ini harus bisa di dengar oleh para pejabat termasuk presiden bagaimana dengan buku yg pernah di buatnya sendiri oleh pak wowo,0,2026-04-25T15:14:17Z
@MilaMila-k3u,Mahpud MD.di podkes bilang selalu bicara benar. Preeeet..,0,2026-04-25T15:08:32Z
@GumortapSianipar,ORANG INDONESIA MEMANG PINTARNYA MENGKRITIK TAPI KRITIKNYA TDK MEMBANGUN HANYA ADA MAUNYA.,0,2026-04-25T14:25:05Z
@Watini-f3q,Aku percaya mahpud pakarhukum sip jelas dan benar mungkin prabowo udah lupa dgn. Ucapannya ketiga jadi prediden tapi kedaulatan di tangan rakyat,0,2026-04-25T14:02:29Z
@Kanoho-f4x,Pak mahmud jangan ndukung orang gak benar nanti pasti nama pak mahmud iku jadi orang jelek,0,2026-04-25T09:38:21Z
